model_family,learning_rate,max_depth,max_iter,roc_auc_mean,roc_auc_std,brier_mean,brier_std,logloss_mean,logloss_std,fold_roc_auc,fold_brier,fold_logloss
hist_gb,0.03,3.0,200,0.5826334610868112,0.007485620092574216,0.24479646029905172,0.0011154429398814356,0.6826680710289512,0.002296871728751372,"[0.586619952565289, 0.5731660542646958, 0.5919115519072562, 0.5842930952614375, 0.5771766514353778]","[0.24402137891438788, 0.2460781036340451, 0.24353297296916132, 0.24452276397078732, 0.24582708200687717]","[0.6810441762328129, 0.6853235995794971, 0.6800950013225358, 0.6820962331121683, 0.6847813448977426]"
hist_gb,0.03,3.0,400,0.5826334610868112,0.007485620092574216,0.24479646029905172,0.0011154429398814356,0.6826680710289512,0.002296871728751372,"[0.586619952565289, 0.5731660542646958, 0.5919115519072562, 0.5842930952614375, 0.5771766514353778]","[0.24402137891438788, 0.2460781036340451, 0.24353297296916132, 0.24452276397078732, 0.24582708200687717]","[0.6810441762328129, 0.6853235995794971, 0.6800950013225358, 0.6820962331121683, 0.6847813448977426]"
hist_gb,0.05,3.0,200,0.5826055663551417,0.0075214146456133255,0.24479152564587095,0.0011548393588478288,0.6826606642425307,0.0023782375582041327,"[0.5860688605278629, 0.5734969535646119, 0.5922890002656958, 0.5844207882846186, 0.576752229132919]","[0.24407757066669325, 0.2460990798631969, 0.24341547777390837, 0.24450615357007968, 0.24585934635547654]","[0.6811562376503301, 0.6853742503143299, 0.6798508927590486, 0.6820786874207077, 0.6848432530682375]"
hist_gb,0.05,3.0,400,0.5826055663551417,0.0075214146456133255,0.24479152564587095,0.0011548393588478288,0.6826606642425307,0.0023782375582041327,"[0.5860688605278629, 0.5734969535646119, 0.5922890002656958, 0.5844207882846186, 0.576752229132919]","[0.24407757066669325, 0.2460990798631969, 0.24341547777390837, 0.24450615357007968, 0.24585934635547654]","[0.6811562376503301, 0.6853742503143299, 0.6798508927590486, 0.6820786874207077, 0.6848432530682375]"
hist_gb,0.05,5.0,200,0.5814227617506715,0.002876245594604081,0.24500105717035306,0.0006201784188481456,0.6831120871581107,0.0012919689237585869,"[0.5824805731775609, 0.5782252569961317, 0.5852792699433949, 0.5822077914375199, 0.5789209171987499]","[0.24464441560190486, 0.245488789659346, 0.2443404278176004, 0.2447195790622784, 0.24581207371063557]","[0.6823549334152411, 0.6841077282877863, 0.6817866891029535, 0.682479790744406, 0.6848312942401663]"
hist_gb,0.05,5.0,400,0.5814227617506715,0.002876245594604081,0.24500105717035306,0.0006201784188481456,0.6831120871581107,0.0012919689237585869,"[0.5824805731775609, 0.5782252569961317, 0.5852792699433949, 0.5822077914375199, 0.5789209171987499]","[0.24464441560190486, 0.245488789659346, 0.2443404278176004, 0.2447195790622784, 0.24581207371063557]","[0.6823549334152411, 0.6841077282877863, 0.6817866891029535, 0.682479790744406, 0.6848312942401663]"
hist_gb,0.1,3.0,200,0.5808374039852439,0.008194342832015577,0.24497772997018857,0.0012707325687685985,0.6830389395020556,0.002631071065125208,"[0.5828191434833759, 0.5692196704117447, 0.5903464923628163, 0.5853313860728779, 0.5764703275954043]","[0.24434755943880135, 0.24663775307983493, 0.24358579303664443, 0.2443515508476311, 0.2459659934480309]","[0.6816982676230251, 0.6864728499900589, 0.6801866852729224, 0.6817335747756095, 0.6851033198486624]"
hist_gb,0.1,3.0,400,0.5808374039852439,0.008194342832015577,0.24497772997018857,0.0012707325687685985,0.6830389395020556,0.002631071065125208,"[0.5828191434833759, 0.5692196704117447, 0.5903464923628163, 0.5853313860728779, 0.5764703275954043]","[0.24434755943880135, 0.24663775307983493, 0.24358579303664443, 0.2443515508476311, 0.2459659934480309]","[0.6816982676230251, 0.6864728499900589, 0.6801866852729224, 0.6817335747756095, 0.6851033198486624]"
hist_gb,0.03,5.0,200,0.5804006766857801,0.0030670867471726464,0.24511611105840397,0.0005108538742559566,0.683341407250163,0.0010702300299644373,"[0.5800980284817475, 0.576789732846759, 0.5851112051777895, 0.5790044758846841, 0.580999941037921]","[0.24484791586825275, 0.24567898492318918, 0.24445188996914174, 0.2450310113501256, 0.24557075318131058]","[0.6827586219278075, 0.6845020442847263, 0.6819942416802397, 0.6830999351062353, 0.6843521932518063]"
hist_gb,0.03,5.0,400,0.5804006766857801,0.0030670867471726464,0.24511611105840397,0.0005108538742559566,0.683341407250163,0.0010702300299644373,"[0.5800980284817475, 0.576789732846759, 0.5851112051777895, 0.5790044758846841, 0.580999941037921]","[0.24484791586825275, 0.24567898492318918, 0.24445188996914174, 0.2450310113501256, 0.24557075318131058]","[0.6827586219278075, 0.6845020442847263, 0.6819942416802397, 0.6830999351062353, 0.6843521932518063]"
hist_gb,0.1,5.0,200,0.5800934528789297,0.0032978089745526865,0.24532976314147037,0.0007009479550932925,0.6838333582342498,0.0014797633246921096,"[0.58315544735563, 0.5755785856199324, 0.5829103238489481, 0.5809730766587271, 0.5778498309114106]","[0.24466483534271907, 0.24626116351339136, 0.24484941716885708, 0.24498832870935472, 0.2458850709730297]","[0.6824345404100901, 0.6858123379750217, 0.6828633510858766, 0.6830616262198244, 0.6849949354804364]"
hist_gb,0.1,5.0,400,0.5800934528789297,0.0032978089745526865,0.24532976314147037,0.0007009479550932925,0.6838333582342498,0.0014797633246921096,"[0.58315544735563, 0.5755785856199324, 0.5829103238489481, 0.5809730766587271, 0.5778498309114106]","[0.24466483534271907, 0.24626116351339136, 0.24484941716885708, 0.24498832870935472, 0.2458850709730297]","[0.6824345404100901, 0.6858123379750217, 0.6828633510858766, 0.6830616262198244, 0.6849949354804364]"
hist_gb,0.03,,200,0.5786546427767616,0.0033389146113764648,0.2453081113039591,0.0005440811731458428,0.6837040775125658,0.0011270120681138175,"[0.5845309981861557, 0.5776072179981324, 0.5762220784102329, 0.5777531889239211, 0.5771597303653659]","[0.2443744832690769, 0.24543789770368418, 0.24547624688852257, 0.24544532545105097, 0.24580660320746084]","[0.6817755900102218, 0.683958451104735, 0.6840342930504312, 0.6839986799638654, 0.6847533734335753]"
hist_gb,0.03,,400,0.5786546427767616,0.0033389146113764648,0.2453081113039591,0.0005440811731458428,0.6837040775125658,0.0011270120681138175,"[0.5845309981861557, 0.5776072179981324, 0.5762220784102329, 0.5777531889239211, 0.5771597303653659]","[0.2443744832690769, 0.24543789770368418, 0.24547624688852257, 0.24544532545105097, 0.24580660320746084]","[0.6817755900102218, 0.683958451104735, 0.6840342930504312, 0.6839986799638654, 0.6847533734335753]"
hist_gb,0.05,,200,0.5782247085993264,0.0050975025743632725,0.24555136835479008,0.0008465652486131082,0.6842447675334012,0.0017600867279863788,"[0.5858042108243473, 0.5760344874477936, 0.5768122228413267, 0.5802231418135688, 0.5722494800695961]","[0.24430245809593015, 0.2458090620760323, 0.24595800688107933, 0.2451712410551578, 0.24651607366575082]","[0.6816581309232617, 0.6847598109519514, 0.6850985220746413, 0.683445638532275, 0.6862617351848771]"
hist_gb,0.05,,400,0.5782247085993264,0.0050975025743632725,0.24555136835479008,0.0008465652486131082,0.6842447675334012,0.0017600867279863788,"[0.5858042108243473, 0.5760344874477936, 0.5768122228413267, 0.5802231418135688, 0.5722494800695961]","[0.24430245809593015, 0.2458090620760323, 0.24595800688107933, 0.2451712410551578, 0.24651607366575082]","[0.6816581309232617, 0.6847598109519514, 0.6850985220746413, 0.683445638532275, 0.6862617351848771]"
hist_gb,0.1,,200,0.5728221996849518,0.004463347634647594,0.24643047734304352,0.0007143817490682671,0.6860657065010783,0.0014974881780278233,"[0.5787861121319748, 0.5664767627797215, 0.5719343347947761, 0.5745196945554975, 0.5723940941627891]","[0.24531387106742528, 0.24722626296069966, 0.24645414367800395, 0.2463376312575908, 0.2468204777514979]","[0.6836940995273367, 0.6876822143413367, 0.686098157502108, 0.6859422095133693, 0.6869118516212408]"
hist_gb,0.1,,400,0.5728221996849518,0.004463347634647594,0.24643047734304352,0.0007143817490682671,0.6860657065010783,0.0014974881780278233,"[0.5787861121319748, 0.5664767627797215, 0.5719343347947761, 0.5745196945554975, 0.5723940941627891]","[0.24531387106742528, 0.24722626296069966, 0.24645414367800395, 0.2463376312575908, 0.2468204777514979]","[0.6836940995273367, 0.6876822143413367, 0.686098157502108, 0.6859422095133693, 0.6869118516212408]"
